games,event,team,pos,medal,as,athlete_id,noc_x,discipline,nationality_x,roles,sex,full_name,used_name,born,died,noc_y,measurements,affiliations,nickpetnames,titles,other_names,nationality_y,original_name,name_order
1900 Summer Olympics,"Singles, Handicap, Men (Olympic (non-medal))",,2,,Reggie Doherty,89,GBR,Tennis,,Competed in Olympic Games,Male,"Reginald Frank ""Reggie""•Doherty",Reggie•Doherty,"14 October 1872 in Wimbledon, England (GBR)","29 December 1910 in Kensington, England (GBR)",Great Britain,,"All England Lawn Tennis and Croquet Club, Wimbledon (GBR)",,,,,,
1900 Summer Olympics,"Doubles, Handicap, Men (Olympic (non-medal))",André Prévost,=5,,Reggie Doherty,89,GBR,Tennis,,Competed in Olympic Games,Male,"Reginald Frank ""Reggie""•Doherty",Reggie•Doherty,"14 October 1872 in Wimbledon, England (GBR)","29 December 1910 in Kensington, England (GBR)",Great Britain,,"All England Lawn Tennis and Croquet Club, Wimbledon (GBR)",,,,,,
1908 Summer Olympics,"Doubles, Men (Olympic)",George Hillyard,1,Gold,Reggie Doherty,89,GBR,Tennis,,Competed in Olympic Games,Male,"Reginald Frank ""Reggie""•Doherty",Reggie•Doherty,"14 October 1872 in Wimbledon, England (GBR)","29 December 1910 in Kensington, England (GBR)",Great Britain,,"All England Lawn Tennis and Croquet Club, Wimbledon (GBR)",,,,,,
1988 Summer Olympics,"Singles, Men (Olympic)",,=9,,Desmond Douglas,90,GBR,Table Tennis,,Competed in Olympic Games,Male,Desmond•Douglas,Desmond•Douglas,"20 July 1955 in Kingston, Kingston (JAM)",,Great Britain,175 cm / 66 kg,Bathwick Tyres,,,,,,
1988 Summer Olympics,"Doubles, Men (Olympic)",Sky Andrew,=9,,Desmond Douglas,90,GBR,Table Tennis,,Competed in Olympic Games,Male,Desmond•Douglas,Desmond•Douglas,"20 July 1955 in Kingston, Kingston (JAM)",,Great Britain,175 cm / 66 kg,Bathwick Tyres,,,,,,
1908 Summer Olympics,"Singles, Men (Olympic)",,3,Bronze,Wilberforce Eaves,91,GBR,Tennis,,Competed in Olympic Games,Male,Wilberforce Vaughan•Eaves,Wilberforce•Eaves,"10 December 1867 in Melbourne, Victoria (AUS)","10 February 1920 in Marylebone, England (GBR)",Great Britain,,,,,,,,
1908 Summer Olympics,"Doubles, Men (Olympic)",George Ball-Greene,DNS,,Wilberforce Eaves,91,GBR,Tennis,,Competed in Olympic Games,Male,Wilberforce Vaughan•Eaves,Wilberforce•Eaves,"10 December 1867 in Melbourne, Victoria (AUS)","10 February 1920 in Marylebone, England (GBR)",Great Britain,,,,,,,,
1908 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,4,,Wilberforce Eaves,91,GBR,Tennis,,Competed in Olympic Games,Male,Wilberforce Vaughan•Eaves,Wilberforce•Eaves,"10 December 1867 in Melbourne, Victoria (AUS)","10 February 1920 in Marylebone, England (GBR)",Great Britain,,,,,,,,
1908 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",George Hillyard,5,,Wilberforce Eaves,91,GBR,Tennis,,Competed in Olympic Games,Male,Wilberforce Vaughan•Eaves,Wilberforce•Eaves,"10 December 1867 in Melbourne, Victoria (AUS)","10 February 1920 in Marylebone, England (GBR)",Great Britain,,,,,,,,
1908 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,7.0,,Lionel Escombe,92,GBR,Tennis,,Competed in Olympic Games,Male,Lionel Hunter•Escombe,Lionel•Escombe,"1876 in Natal, KwaZulu-Natal (RSA)","15 October 1914 in Brentford, England (GBR)",Great Britain,,,,,,,,
1908 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",Josiah Ritchie,4.0,,Lionel Escombe,92,GBR,Tennis,,Competed in Olympic Games,Male,Lionel Hunter•Escombe,Lionel•Escombe,"1876 in Natal, KwaZulu-Natal (RSA)","15 October 1914 in Brentford, England (GBR)",Great Britain,,,,,,,,
1996 Summer Olympics,"Singles, Women (Olympic)",,=33,,Anne Gibson,93,GBR,Badminton,,Competed in Olympic Games,Female,Anne•Gibson (Robertson-),Anne•Gibson,"26 October 1968 in Dumfries, Scotland (GBR)",,Great Britain,173 cm / 70 kg,,,,,,,
1924 Summer Olympics,"Singles, Men (Olympic)",,=9,,Brian Gilbert,94,GBR,Tennis,,Competed in Olympic Games,Male,John Brian•Gilbert,Brian•Gilbert,"17 July 1887 in Barnes, England (GBR)","28 July 1974 in Roehampton, England (GBR)",Great Britain,,,,,,,,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Kitty McKane,4,,Brian Gilbert,94,GBR,Tennis,,Competed in Olympic Games,Male,John Brian•Gilbert,Brian•Gilbert,"17 July 1887 in Barnes, England (GBR)","28 July 1974 in Roehampton, England (GBR)",Great Britain,,,,,,,,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Phyllis Covell,=5,,Leslie Godfree,95,GBR,Tennis,,Competed in Olympic Games,Male,Leslie Allison•Godfree,Leslie•Godfree,"27 April 1885 in Brighton, England (GBR)","17 November 1971 in Richmond, England (GBR)",Great Britain,,,,,,,,
1924 Summer Olympics,"Doubles, Men (Olympic)",Max Woosnam,=29,,Leslie Godfree,95,GBR,Tennis,,Competed in Olympic Games,Male,Leslie Allison•Godfree,Leslie•Godfree,"27 April 1885 in Brighton, England (GBR)","17 November 1971 in Richmond, England (GBR)",Great Britain,,,,,,,,
1992 Summer Olympics,"Doubles, Men (Olympic)",Chris Hunt,=9,,Andy Goode,96,GBR,Badminton,,Competed in Olympic Games,Male,"Andrew Brian ""Andy""•Goode",Andy•Goode,"30 January 1960 in Welwyn Garden City, England (GBR)",,Great Britain,183 cm / 83 kg,,,,,,,
1908 Summer Olympics,"Singles, Men (Olympic)",,DNS,,Arthur Wentworth Gore,97,GBR,Tennis,,Competed in Olympic Games,Male,"Arthur William Charles ""Arthur Wentworth""•Gore",Arthur Wentworth•Gore,"2 January 1868 in Lyndhurst, England (GBR)","1 December 1928 in Kensington, England (GBR)",Great Britain,,,,,,,,
1908 Summer Olympics,"Doubles, Men (Olympic)",Roper Barrett,DNS,,Arthur Wentworth Gore,97,GBR,Tennis,,Competed in Olympic Games,Male,"Arthur William Charles ""Arthur Wentworth""•Gore",Arthur Wentworth•Gore,"2 January 1868 in Lyndhurst, England (GBR)","1 December 1928 in Kensington, England (GBR)",Great Britain,,,,,,,,
1908 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,1,Gold,Arthur Wentworth Gore,97,GBR,Tennis,,Competed in Olympic Games,Male,"Arthur William Charles ""Arthur Wentworth""•Gore",Arthur Wentworth•Gore,"2 January 1868 in Lyndhurst, England (GBR)","1 December 1928 in Kensington, England (GBR)",Great Britain,,,,,,,,
1908 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",Roper Barrett,1,Gold,Arthur Wentworth Gore,97,GBR,Tennis,,Competed in Olympic Games,Male,"Arthur William Charles ""Arthur Wentworth""•Gore",Arthur Wentworth•Gore,"2 January 1868 in Lyndhurst, England (GBR)","1 December 1928 in Kensington, England (GBR)",Great Britain,,,,,,,,
1912 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,=9,,Arthur Wentworth Gore,97,GBR,Tennis,,Competed in Olympic Games,Male,"Arthur William Charles ""Arthur Wentworth""•Gore",Arthur Wentworth•Gore,"2 January 1868 in Lyndhurst, England (GBR)","1 December 1928 in Kensington, England (GBR)",Great Britain,,,,,,,,
1912 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",Roper Barrett,4,,Arthur Wentworth Gore,97,GBR,Tennis,,Competed in Olympic Games,Male,"Arthur William Charles ""Arthur Wentworth""•Gore",Arthur Wentworth•Gore,"2 January 1868 in Lyndhurst, England (GBR)","1 December 1928 in Kensington, England (GBR)",Great Britain,,,,,,,,
1988 Summer Olympics,"Singles, Men (Olympic (non-medal))",,4,,Darren Hall,98,GBR,Badminton,,Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,Darren James•Hall,Darren•Hall,"25 October 1965 in Walthamstow, England (GBR)",,Great Britain,183 cm / 73 kg,,,,,,,
1992 Summer Olympics,"Singles, Men (Olympic)",,=17,,Darren Hall,98,GBR,Badminton,,Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,Darren James•Hall,Darren•Hall,"25 October 1965 in Walthamstow, England (GBR)",,Great Britain,183 cm / 73 kg,,,,,,,
1996 Summer Olympics,"Singles, Men (Olympic)",,=17,,Darren Hall,98,GBR,Badminton,,Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,Darren James•Hall,Darren•Hall,"25 October 1965 in Walthamstow, England (GBR)",,Great Britain,183 cm / 73 kg,,,,,,,
1996 Summer Olympics,"Doubles, Men (Olympic)",Peter Knowles,=17,,Darren Hall,98,GBR,Badminton,,Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,Darren James•Hall,Darren•Hall,"25 October 1965 in Walthamstow, England (GBR)",,Great Britain,183 cm / 73 kg,,,,,,,
1996 Summer Olympics,"Singles, Men (Olympic)",,=17,,Tim Henman,99,GBR,Tennis,,Competed in Olympic Games,Male,"Timothy Henry ""Tim""•Henman",Tim•Henman,"6 September 1974 in Oxford, England (GBR)",,Great Britain,185 cm / 77 kg,,Tiger Tim,,,,,
1996 Summer Olympics,"Doubles, Men (Olympic)",Neil Broad,2,Silver,Tim Henman,99,GBR,Tennis,,Competed in Olympic Games,Male,"Timothy Henry ""Tim""•Henman",Tim•Henman,"6 September 1974 in Oxford, England (GBR)",,Great Britain,185 cm / 77 kg,,Tiger Tim,,,,,
2000 Summer Olympics,"Singles, Men (Olympic)",,=33,,Tim Henman,99,GBR,Tennis,,Competed in Olympic Games,Male,"Timothy Henry ""Tim""•Henman",Tim•Henman,"6 September 1974 in Oxford, England (GBR)",,Great Britain,185 cm / 77 kg,,Tiger Tim,,,,,
2004 Summer Olympics,"Singles, Men (Olympic)",,=33,,Tim Henman,99,GBR,Tennis,,Competed in Olympic Games,Male,"Timothy Henry ""Tim""•Henman",Tim•Henman,"6 September 1974 in Oxford, England (GBR)",,Great Britain,185 cm / 77 kg,,Tiger Tim,,,,,
1908 Summer Olympics,"Singles, Men (Olympic)",,DNS,,George Hillyard,100,GBR,Tennis,,Competed in Olympic Games,Male,George Whiteside•Hillyard,George•Hillyard,"6 February 1864 in Hanwell, England (GBR)","24 March 1943 in Pulborough, England (GBR)",Great Britain,,,,,,,,
1908 Summer Olympics,"Doubles, Men (Olympic)",Reggie Doherty,1,Gold,George Hillyard,100,GBR,Tennis,,Competed in Olympic Games,Male,George Whiteside•Hillyard,George•Hillyard,"6 February 1864 in Hanwell, England (GBR)","24 March 1943 in Pulborough, England (GBR)",Great Britain,,,,,,,,
1908 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",Wilberforce Eaves,5,,George Hillyard,100,GBR,Tennis,,Competed in Olympic Games,Male,George Whiteside•Hillyard,George•Hillyard,"6 February 1864 in Hanwell, England (GBR)","24 March 1943 in Pulborough, England (GBR)",Great Britain,,,,,,,,
1992 Summer Olympics,"Doubles, Men (Olympic)",Andy Goode,=9,,Chris Hunt,101,GBR,Badminton,,Competed in Olympic Games,Male,"Christopher John ""Chris""•Hunt",Chris•Hunt,"1 December 1968 in Bolton, England (GBR)",,Great Britain,182 cm / 88 kg,Wimbledon,,,,,,
1996 Summer Olympics,"Doubles, Mixed (Olympic)",Jo Muggeridge,=17,,Chris Hunt,101,GBR,Badminton,,Competed in Olympic Games,Male,"Christopher John ""Chris""•Hunt",Chris•Hunt,"1 December 1968 in Bolton, England (GBR)",,Great Britain,182 cm / 88 kg,Wimbledon,,,,,,
1996 Summer Olympics,"Doubles, Men (Olympic)",Simon Archer,=5,,Chris Hunt,101,GBR,Badminton,,Competed in Olympic Games,Male,"Christopher John ""Chris""•Hunt",Chris•Hunt,"1 December 1968 in Bolton, England (GBR)",,Great Britain,182 cm / 88 kg,Wimbledon,,,,,,
2000 Summer Olympics,"Doubles, Mixed (Olympic)",Donna Kellogg,=17,,Chris Hunt,101,GBR,Badminton,,Competed in Olympic Games,Male,"Christopher John ""Chris""•Hunt",Chris•Hunt,"1 December 1968 in Bolton, England (GBR)",,Great Britain,182 cm / 88 kg,Wimbledon,,,,,,
1924 Summer Olympics,"Singles, Men (Olympic)",,=9,,Algernon Kingscote,102,GBR,Tennis,,Competed in Olympic Games,Male,Algernon Robert Fitzhardinge•Kingscote,Algernon•Kingscote,"3 February 1888 in Bengaluru (Bangalore), Karnataka (IND)","21 December 1964 in Woking, England (GBR)",Great Britain,,,Algy,,,,,
1924 Summer Olympics,"Doubles, Men (Olympic)",Patrick Wheatley,=29,,Algernon Kingscote,102,GBR,Tennis,,Competed in Olympic Games,Male,Algernon Robert Fitzhardinge•Kingscote,Algernon•Kingscote,"3 February 1888 in Bengaluru (Bangalore), Karnataka (IND)","21 December 1964 in Woking, England (GBR)",Great Britain,,,Algy,,,,,
1996 Summer Olympics,"Singles, Men (Olympic)",,=17,,Peter Knowles,103,GBR,Badminton,,Competed in Olympic Games,Male,Peter•Knowles,Peter•Knowles,"28 December 1969 in Stockport, England (GBR)",,Great Britain,177 cm / 77 kg,,,,,,,
1996 Summer Olympics,"Doubles, Men (Olympic)",Darren Hall,=17,,Peter Knowles,103,GBR,Badminton,,Competed in Olympic Games,Male,Peter•Knowles,Peter•Knowles,"28 December 1969 in Stockport, England (GBR)",,Great Britain,177 cm / 77 kg,,,,,,,
2000 Summer Olympics,"Singles, Men (Olympic)",,=17,,Peter Knowles,103,GBR,Badminton,,Competed in Olympic Games,Male,Peter•Knowles,Peter•Knowles,"28 December 1969 in Stockport, England (GBR)",,Great Britain,177 cm / 77 kg,,,,,,,
2000 Summer Olympics,"Doubles, Men (Olympic)",Julian Robertson,=9,,Peter Knowles,103,GBR,Badminton,,Competed in Olympic Games,Male,Peter•Knowles,Peter•Knowles,"28 December 1969 in Stockport, England (GBR)",,Great Britain,177 cm / 77 kg,,,,,,,
1912 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,=5,,Arthur Lowe,104,GBR,Tennis,,Competed in Olympic Games,Male,Arthur Holden•Lowe,Arthur•Lowe,"29 January 1886 in Edgbaston, Birmingham, England (GBR)","22 October 1958 in London, England (GBR)",Great Britain,,,,,,,,
1912 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",Gordon Lowe,=5,,Arthur Lowe,104,GBR,Tennis,,Competed in Olympic Games,Male,Arthur Holden•Lowe,Arthur•Lowe,"29 January 1886 in Edgbaston, Birmingham, England (GBR)","22 October 1958 in London, England (GBR)",Great Britain,,,,,,,,
1912 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,4,,Gordon Lowe,105,GBR,Tennis,,Competed in Olympic Games,Male,Francis Gordon•Lowe,Gordon•Lowe,"21 June 1884 in Edgbaston, Birmingham, England (GBR)","17 May 1972 in London, England (GBR)",Great Britain,,,,2nd Baronet of Lowe,,,,
1912 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",Arthur Lowe,=5,,Gordon Lowe,105,GBR,Tennis,,Competed in Olympic Games,Male,Francis Gordon•Lowe,Gordon•Lowe,"21 June 1884 in Edgbaston, Birmingham, England (GBR)","17 May 1972 in London, England (GBR)",Great Britain,,,,2nd Baronet of Lowe,,,,
1920 Summer Olympics,"Singles, Men (Olympic)",,=5,,Gordon Lowe,105,GBR,Tennis,,Competed in Olympic Games,Male,Francis Gordon•Lowe,Gordon•Lowe,"21 June 1884 in Edgbaston, Birmingham, England (GBR)","17 May 1972 in London, England (GBR)",Great Britain,,,,2nd Baronet of Lowe,,,,
1920 Summer Olympics,"Doubles, Mixed (Olympic)",Dorothy Holman,=14,,Gordon Lowe,105,GBR,Tennis,,Competed in Olympic Games,Male,Francis Gordon•Lowe,Gordon•Lowe,"21 June 1884 in Edgbaston, Birmingham, England (GBR)","17 May 1972 in London, England (GBR)",Great Britain,,,,2nd Baronet of Lowe,,,,
1920 Summer Olympics,"Doubles, Men (Olympic)",Alfred Beamish,=17,,Gordon Lowe,105,GBR,Tennis,,Competed in Olympic Games,Male,Francis Gordon•Lowe,Gordon•Lowe,"21 June 1884 in Edgbaston, Birmingham, England (GBR)","17 May 1972 in London, England (GBR)",Great Britain,,,,2nd Baronet of Lowe,,,,
1900 Summer Olympics,"Singles, Men (Olympic)",,2,Silver,Harold Mahony,106,GBR,Tennis,,Competed in Olympic Games,Male,Harold Segerson•Mahony,Harold•Mahony,"13 February 1867 in Edinburgh, Scotland (GBR)","27 June 1905 in between Glencar and Killorgin, Kerry (IRL)",Great Britain,191 cm,"Fitzwilliam Lawn Tennis Club, Dublin (IRL)",,,,Ireland,,
1900 Summer Olympics,"Doubles, Mixed (Olympic)",Yvonne Prévost,2,Silver,Harold Mahony,106,GBR,Tennis,,Competed in Olympic Games,Male,Harold Segerson•Mahony,Harold•Mahony,"13 February 1867 in Edinburgh, Scotland (GBR)","27 June 1905 in between Glencar and Killorgin, Kerry (IRL)",Great Britain,191 cm,"Fitzwilliam Lawn Tennis Club, Dublin (IRL)",,,,Ireland,,
1900 Summer Olympics,"Doubles, Men (Olympic)",Arthur Norris,=3,Bronze,Harold Mahony,106,GBR,Tennis,,Competed in Olympic Games,Male,Harold Segerson•Mahony,Harold•Mahony,"13 February 1867 in Edinburgh, Scotland (GBR)","27 June 1905 in between Glencar and Killorgin, Kerry (IRL)",Great Britain,191 cm,"Fitzwilliam Lawn Tennis Club, Dublin (IRL)",,,,Ireland,,
1900 Summer Olympics,"Singles, Handicap, Men (Olympic (non-medal))",,=3,,Harold Mahony,106,GBR,Tennis,,Competed in Olympic Games,Male,Harold Segerson•Mahony,Harold•Mahony,"13 February 1867 in Edinburgh, Scotland (GBR)","27 June 1905 in between Glencar and Killorgin, Kerry (IRL)",Great Britain,191 cm,"Fitzwilliam Lawn Tennis Club, Dublin (IRL)",,,,Ireland,,
1900 Summer Olympics,"Doubles, Handicap, Men (Olympic (non-medal))",Charles Sands,=5,,Harold Mahony,106,GBR,Tennis,,Competed in Olympic Games,Male,Harold Segerson•Mahony,Harold•Mahony,"13 February 1867 in Edinburgh, Scotland (GBR)","27 June 1905 in between Glencar and Killorgin, Kerry (IRL)",Great Britain,191 cm,"Fitzwilliam Lawn Tennis Club, Dublin (IRL)",,,,Ireland,,
1912 Summer Olympics,"Doubles, Covered Courts, Mixed (Olympic)",Mabel Parton,=5,,Theodore Mavrogordato,107,GBR,Tennis,,Competed in Olympic Games,Male,Theodore Michel•Mavrogordato,Theodore•Mavrogordato,"31 July 1883 in City of London, England (GBR)","24 August 1941 in Limpsfield, England (GBR)",Great Britain,,,,,,,,
1912 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,=9,,Theodore Mavrogordato,107,GBR,Tennis,,Competed in Olympic Games,Male,Theodore Michel•Mavrogordato,Theodore•Mavrogordato,"31 July 1883 in City of London, England (GBR)","24 August 1941 in Limpsfield, England (GBR)",Great Britain,,,,,,,,
1912 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",George Caridia,=7,,Theodore Mavrogordato,107,GBR,Tennis,,Competed in Olympic Games,Male,Theodore Michel•Mavrogordato,Theodore•Mavrogordato,"31 July 1883 in City of London, England (GBR)","24 August 1941 in Limpsfield, England (GBR)",Great Britain,,,,,,,,
1992 Summer Olympics,"Singles, Men (Olympic)",,=33,,Anders Nielsen,108,GBR,Badminton,,Competed in Olympic Games,Male,Anders Ward•Nielsen,Anders•Nielsen,"24 February 1967 in Cape Town, Western Cape (RSA)","29 July 2010 in North Cheam, England (GBR)",Great Britain,173 cm / 70 kg,Wimbledon,,,,,,
1900 Summer Olympics,"Singles, Men (Olympic)",,=3,Bronze,Arthur Norris,109,GBR,Tennis,,Competed in Olympic Games,Male,Arthur B. J.•Norris,Arthur•Norris,,,Great Britain,,"Queen's Club, London (GBR)",,,,,,
1900 Summer Olympics,"Doubles, Men (Olympic)",Harold Mahony,=3,Bronze,Arthur Norris,109,GBR,Tennis,,Competed in Olympic Games,Male,Arthur B. J.•Norris,Arthur•Norris,,,Great Britain,,"Queen's Club, London (GBR)",,,,,,
1900 Summer Olympics,"Doubles, Handicap, Mixed (Olympic (non-medal))",B. Hogg,=9,,Arthur Norris,109,GBR,Tennis,,Competed in Olympic Games,Male,Arthur B. J.•Norris,Arthur•Norris,,,Great Britain,,"Queen's Club, London (GBR)",,,,,,
1900 Summer Olympics,"Singles, Handicap, Men (Olympic (non-medal))",,=9,,Arthur Norris,109,GBR,Tennis,,Competed in Olympic Games,Male,Arthur B. J.•Norris,Arthur•Norris,,,Great Britain,,"Queen's Club, London (GBR)",,,,,,
1900 Summer Olympics,"Doubles, Handicap, Men (Olympic (non-medal))",Laurie Doherty,=5,,Arthur Norris,109,GBR,Tennis,,Competed in Olympic Games,Male,Arthur B. J.•Norris,Arthur•Norris,,,Great Britain,,"Queen's Club, London (GBR)",,,,,,
1908 Summer Olympics,"Singles, Men (Olympic)",,=9,,James Parke,110,GBR,Tennis,,Competed in Olympic Games,Male,James Cecil•Parke,James•Parke,"26 July 1881 in Clones, Monaghan (IRL)","27 February 1946 in Llandudno, Wales (GBR)",Great Britain,,,,,,Ireland,,
1908 Summer Olympics,"Doubles, Men (Olympic)",Josiah Ritchie,2,Silver,James Parke,110,GBR,Tennis,,Competed in Olympic Games,Male,James Cecil•Parke,James•Parke,"26 July 1881 in Clones, Monaghan (IRL)","27 February 1946 in Llandudno, Wales (GBR)",Great Britain,,,,,,Ireland,,
1992 Summer Olympics,"Doubles, Men (Olympic)",Dave Wright,=9,,Nick Ponting,111,GBR,Badminton,,Competed in Olympic Games,Male,"Nicholas James ""Nick""•Ponting",Nick•Ponting,"13 September 1966 in London, England (GBR)",,Great Britain,173 cm / 76 kg,,,,,,,
1996 Summer Olympics,"Doubles, Mixed (Olympic)",Joanne Wright,=9,,Nick Ponting,111,GBR,Badminton,,Competed in Olympic Games,Male,"Nicholas James ""Nick""•Ponting",Nick•Ponting,"13 September 1966 in London, England (GBR)",,Great Britain,173 cm / 76 kg,,,,,,,
1996 Summer Olympics,"Doubles, Men (Olympic)",Julian Robertson,=17,,Nick Ponting,111,GBR,Badminton,,Competed in Olympic Games,Male,"Nicholas James ""Nick""•Ponting",Nick•Ponting,"13 September 1966 in London, England (GBR)",,Great Britain,173 cm / 76 kg,,,,,,,
1988 Summer Olympics,"Singles, Men (Olympic)",,=25,,Carl Prean,112,GBR,Table Tennis,,Competed in Olympic Games,Male,Carl Lustig•Prean,Carl•Prean,"20 August 1967 in Newport, England (GBR)",,Great Britain,185 cm / 79 kg,"Saarbrücken, GER",,,,,,
1988 Summer Olympics,"Doubles, Men (Olympic)",Alan Cooke,=13,,Carl Prean,112,GBR,Table Tennis,,Competed in Olympic Games,Male,Carl Lustig•Prean,Carl•Prean,"20 August 1967 in Newport, England (GBR)",,Great Britain,185 cm / 79 kg,"Saarbrücken, GER",,,,,,
1992 Summer Olympics,"Singles, Men (Olympic)",,=9,,Carl Prean,112,GBR,Table Tennis,,Competed in Olympic Games,Male,Carl Lustig•Prean,Carl•Prean,"20 August 1967 in Newport, England (GBR)",,Great Britain,185 cm / 79 kg,"Saarbrücken, GER",,,,,,
1992 Summer Olympics,"Doubles, Men (Olympic)",Alan Cooke,=9,,Carl Prean,112,GBR,Table Tennis,,Competed in Olympic Games,Male,Carl Lustig•Prean,Carl•Prean,"20 August 1967 in Newport, England (GBR)",,Great Britain,185 cm / 79 kg,"Saarbrücken, GER",,,,,,
1996 Summer Olympics,"Singles, Men (Olympic)",,=33,,Carl Prean,112,GBR,Table Tennis,,Competed in Olympic Games,Male,Carl Lustig•Prean,Carl•Prean,"20 August 1967 in Newport, England (GBR)",,Great Britain,185 cm / 79 kg,"Saarbrücken, GER",,,,,,
1908 Summer Olympics,"Singles, Men (Olympic)",,1.0,Gold,Josiah Ritchie,113,GBR,Tennis,,Competed in Olympic Games,Male,Major Josiah George•Ritchie,Josiah•Ritchie,"18 October 1870 in Westminster, England (GBR)","28 February 1955 in Ashford, England (GBR)",Great Britain,,,,,,,,
1908 Summer Olympics,"Doubles, Men (Olympic)",James Parke,2.0,Silver,Josiah Ritchie,113,GBR,Tennis,,Competed in Olympic Games,Male,Major Josiah George•Ritchie,Josiah•Ritchie,"18 October 1870 in Westminster, England (GBR)","28 February 1955 in Ashford, England (GBR)",Great Britain,,,,,,,,
1908 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,3.0,Bronze,Josiah Ritchie,113,GBR,Tennis,,Competed in Olympic Games,Male,Major Josiah George•Ritchie,Josiah•Ritchie,"18 October 1870 in Westminster, England (GBR)","28 February 1955 in Ashford, England (GBR)",Great Britain,,,,,,,,
1908 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",Lionel Escombe,4.0,,Josiah Ritchie,113,GBR,Tennis,,Competed in Olympic Games,Male,Major Josiah George•Ritchie,Josiah•Ritchie,"18 October 1870 in Westminster, England (GBR)","28 February 1955 in Ashford, England (GBR)",Great Britain,,,,,,,,
1996 Summer Olympics,"Singles, Men (Olympic)",,=33,,Julian Robertson,114,GBR,Badminton,,Competed in Olympic Games,Male,Julian Anthony•Robertson,Julian•Robertson,"9 October 1969 in Peterborough, England (GBR)",,Great Britain,182 cm / 73 kg,,,,,,,
1996 Summer Olympics,"Doubles, Men (Olympic)",Nick Ponting,=17,,Julian Robertson,114,GBR,Badminton,,Competed in Olympic Games,Male,Julian Anthony•Robertson,Julian•Robertson,"9 October 1969 in Peterborough, England (GBR)",,Great Britain,182 cm / 73 kg,,,,,,,
2000 Summer Olympics,"Doubles, Men (Olympic)",Peter Knowles,=9,,Julian Robertson,114,GBR,Badminton,,Competed in Olympic Games,Male,Julian Anthony•Robertson,Julian•Robertson,"9 October 1969 in Peterborough, England (GBR)",,Great Britain,182 cm / 73 kg,,,,,,,
1996 Summer Olympics,"Singles, Men (Olympic)",,=9,,Greg Rusedski,115,GBR,Tennis,,Competed in Olympic Games,Male,"Gregory ""Greg""•Rusedski",Greg•Rusedski,"6 September 1973 in Montréal, Québec (CAN)",,Great Britain,190 cm / 88 kg,,,,,,,
2000 Summer Olympics,"Singles, Men (Olympic)",,=33,,Greg Rusedski,115,GBR,Tennis,,Competed in Olympic Games,Male,"Gregory ""Greg""•Rusedski",Greg•Rusedski,"6 September 1973 in Montréal, Québec (CAN)",,Great Britain,190 cm / 88 kg,,,,,,,
1908 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",George Caridia,2.0,Silver,George Simond,116,GBR,Tennis,,Competed in Olympic Games,Male,George Mieville•Simond,George•Simond,"23 January 1867 in Marylebone, England (GBR)","8 April 1941 in Monte Carlo, Monaco (MON)",Great Britain,,,,,,,,
1992 Summer Olympics,"Singles, Men (Olympic)",,=17,,Matthew Syed,117,GBR,Table Tennis,,Competed in Olympic Games,Male,Matthew Philip•Syed,Matthew•Syed,"2 November 1970 in Bromley, England (GBR)",,Great Britain,175 cm / 70 kg,,,,,,,
2000 Summer Olympics,"Singles, Men (Olympic)",,=33,,Matthew Syed,117,GBR,Table Tennis,,Competed in Olympic Games,Male,Matthew Philip•Syed,Matthew•Syed,"2 November 1970 in Bromley, England (GBR)",,Great Britain,175 cm / 70 kg,,,,,,,
1920 Summer Olympics,"Singles, Men (Olympic)",,4,,Noel Turnbull,118,GBR,Tennis,,Competed in Olympic Games,Male,Oswald Graham Noel•Turnbull,Noel•Turnbull,"20 December 1890 in Highgate, England (GBR)","17 December 1970 in Whitby, England (GBR)",Great Britain,,,,,,,,
1920 Summer Olympics,"Doubles, Mixed (Olympic)",Winifred McNair,=14,,Noel Turnbull,118,GBR,Tennis,,Competed in Olympic Games,Male,Oswald Graham Noel•Turnbull,Noel•Turnbull,"20 December 1890 in Highgate, England (GBR)","17 December 1970 in Whitby, England (GBR)",Great Britain,,,,,,,,
