games,event,team,pos,medal,as,athlete_id,noc_x,discipline,nationality_x,roles,sex,full_name,used_name,born,died,noc_y,measurements,affiliations,nickpetnames,titles,other_names,nationality_y,original_name,name_order
1996 Summer Olympics,"Individual, Women (Olympic)",,49.0,,Khatuna Kvrivishvili,504,GEO,Archery,,Competed in Olympic Games • Other,Female,Khatuna•Kvrivishvili-Lorig,Khatuna•Kvrivishvili-Lorig,"1 January 1974 in Tbilisi, Tbilisi (GEO)",,Georgia Unified Team United States,170 cm / 64 kg,,,,"Khatuna Kvrivishvili-Lorigi, ხათუნა ქვრივიშვილი-ლორიგი, Khatuna Dilmanovna Kvrivishvili-Lorig, Хатуна Дилмановна Квривишвили-Лориг",,,
2000 Summer Olympics,"Individual, Women (Olympic)",,46.0,,Khatuna Lorigi,504,GEO,Archery,,Competed in Olympic Games • Other,Female,Khatuna•Kvrivishvili-Lorig,Khatuna•Kvrivishvili-Lorig,"1 January 1974 in Tbilisi, Tbilisi (GEO)",,Georgia Unified Team United States,170 cm / 64 kg,,,,"Khatuna Kvrivishvili-Lorigi, ხათუნა ქვრივიშვილი-ლორიგი, Khatuna Dilmanovna Kvrivishvili-Lorig, Хатуна Дилмановна Квривишвили-Лориг",,,
2000 Summer Olympics,"Team, Women (Olympic)",Georgia,12.0,,Khatuna Lorigi,504,GEO,Archery,,Competed in Olympic Games • Other,Female,Khatuna•Kvrivishvili-Lorig,Khatuna•Kvrivishvili-Lorig,"1 January 1974 in Tbilisi, Tbilisi (GEO)",,Georgia Unified Team United States,170 cm / 64 kg,,,,"Khatuna Kvrivishvili-Lorigi, ხათუნა ქვრივიშვილი-ლორიგი, Khatuna Dilmanovna Kvrivishvili-Lorig, Хатуна Дилмановна Квривишвили-Лориг",,,
2008 Summer Olympics,"Individual, Women (Olympic)",,5.0,,Khatuna Lorig,504,USA,Archery,,Competed in Olympic Games • Other,Female,Khatuna•Kvrivishvili-Lorig,Khatuna•Kvrivishvili-Lorig,"1 January 1974 in Tbilisi, Tbilisi (GEO)",,Georgia Unified Team United States,170 cm / 64 kg,,,,"Khatuna Kvrivishvili-Lorigi, ხათუნა ქვრივიშვილი-ლორიგი, Khatuna Dilmanovna Kvrivishvili-Lorig, Хатуна Дилмановна Квривишвили-Лориг",,,
2012 Summer Olympics,"Individual, Women (Olympic)",,4.0,,Khatuna Lorig,504,USA,Archery,,Competed in Olympic Games • Other,Female,Khatuna•Kvrivishvili-Lorig,Khatuna•Kvrivishvili-Lorig,"1 January 1974 in Tbilisi, Tbilisi (GEO)",,Georgia Unified Team United States,170 cm / 64 kg,,,,"Khatuna Kvrivishvili-Lorigi, ხათუნა ქვრივიშვილი-ლორიგი, Khatuna Dilmanovna Kvrivishvili-Lorig, Хатуна Дилмановна Квривишвили-Лориг",,,
2012 Summer Olympics,"Team, Women (Olympic)",United States,6.0,,Khatuna Lorig,504,USA,Archery,,Competed in Olympic Games • Other,Female,Khatuna•Kvrivishvili-Lorig,Khatuna•Kvrivishvili-Lorig,"1 January 1974 in Tbilisi, Tbilisi (GEO)",,Georgia Unified Team United States,170 cm / 64 kg,,,,"Khatuna Kvrivishvili-Lorigi, ხათუნა ქვრივიშვილი-ლორიგი, Khatuna Dilmanovna Kvrivishvili-Lorig, Хатуна Дилмановна Квривишвили-Лориг",,,
1972 Summer Olympics,"Individual, Women (Olympic)",,30.0,,Ursula Büschking,505,FRG,Archery,,Competed in Olympic Games,Female,Ursula•Büschking (-Dannowski),Ursula•Büschking,"23 September 1941 in Braniewo, Warmińsko-Mazurskie (POL)",,West Germany,169 cm / 55 kg,"SV Holtorf, Nienburg/Weser (GER)",,,,,,
1984 Summer Olympics,"Individual, Women (Olympic)",,6.0,,Manuela Dachner,506,FRG,Archery,,Competed in Olympic Games,Female,Manuela•Dachner,Manuela•Dachner,"15 June 1960 in Pforzheim, Baden-Württemberg (GER)",,West Germany,171 cm / 68 kg,"Schützenverein Höfen, Höfen an der Enz (GER)",,,,,,
1992 Summer Olympics,"Individual, Women (Olympic)",,43.0,,Astrid Hänschen,507,GER,Archery,,Competed in Olympic Games,Female,Astrid•Hänschen,Astrid•Hänschen,"4 January 1967 in Hamburg, Hamburg (GER)",,Germany,170 cm / 63 kg,"Hamburger Bogenschützen Gilde, Hamburg (GER)",,,,,,
1992 Summer Olympics,"Team, Women (Olympic)",Germany,10.0,,Astrid Hänschen,507,GER,Archery,,Competed in Olympic Games,Female,Astrid•Hänschen,Astrid•Hänschen,"4 January 1967 in Hamburg, Hamburg (GER)",,Germany,170 cm / 63 kg,"Hamburger Bogenschützen Gilde, Hamburg (GER)",,,,,,
