Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,Na•Gyeong-Min,Na•Gyeong-Min,"25 November 1976 in Hongcheon, Gangwon (KOR)",,Republic of Korea,907,175 cm / 65 kg,"Korea National Sport University, Seoul (KOR) / Daekyo Co, Seoul (KOR)",,,Ra Kyung-Min,,나•경민,Oriental
Competed in Olympic Games,Female,Yu•Ji-Hye,Yu•Ji-Hye,10 February 1976,,Republic of Korea,908,164 cm / 55 kg,"Jeil Textile Company (KOR) / Samsung Life Table Tennis Club, (KOR)",,,Ryu Ji-Hae,,유•지혜,Oriental
Competed in Olympic Games,Female,Sim•Eun-Jeong,Sim•Eun-Jeong,8 June 1971,,Republic of Korea,909,,,,,Shim Eun-Jung,,심•은정,Oriental
Competed in Olympic Games,Female,Yang•Yeong-Ja,Yang•Yeong-Ja,6 July 1964,,Republic of Korea,910,166 cm / 59 kg,,,,Yang Young-Ja,,양•영자,Oriental
Competed in Olympic Games,Male,An•Jae-Hyeong,An•Jae-Hyeong,8 January 1965,,Republic of Korea,911,183 cm / 74 kg,,,,Ahn Jae-Hyung,,안•재형,Oriental
Competed in Olympic Games,Male,Jang•Ui-Jong,Jang•Ui-Jong,"1 April 1969 in Gokseong, Jeollanam (KOR)",,Republic of Korea,912,182 cm / 80 kg,,,,Chang Eui-Jong,,장•의종,Oriental
Competed in Olympic Games,Male,Ha•Tae-Gwon,Ha•Tae-Gwon,30 April 1975 in Hyung-Gye (KOR),,Republic of Korea,913,187 cm / 87 kg,Wonkwang University (KOR) / Samsung Electro-Mechanics Co. (KOR),,,Ha Tae-Kwon,,하•태권,Oriental
Competed in Olympic Games,Male,Gang•Gyeong-Jin,Gang•Gyeong-Jin,24 March 1973,,Republic of Korea,914,174 cm / 68 kg,Kangnam Ward Office (KOR),,,Kang Kyung-Jin,,강•경진,Oriental
Competed in Olympic Games,Male,Gang•Hui-Chan,Gang•Hui-Chan,10 May 1970,,Republic of Korea,915,,Daewoo Stock Company (KOR),,,Kang Hee-Chan,,강•희찬,Oriental
Competed in Olympic Games,Male,Kim•Dong-Mun,Kim•Dong-Mun,"22 September 1975 in Gokseong, Jeollanam (KOR)",,Republic of Korea,916,184 cm / 74 kg,Wonkwang University (KOR) / Wonkwang UniversitySamsung Electro-Mechanics Co. (KOR),,,Kim Dong-Moon,,김•동문,Oriental
Competed in Olympic Games,Male,Kim•Hak-Gyun,Kim•Hak-Gyun,15 November 1971,,Republic of Korea,917,172 cm,Daejeon Central Ward Office (KOR),,,Kim Hak-Kyun,,김•학균,Oriental
Competed in Olympic Games,Male,Kim•Mun-Su,Kim•Mun-Su,29 December 1963,,Republic of Korea,918,179 cm,,,,Kim Moon-Soo,,김•문수,Oriental
Competed in Olympic Games,Male,Kim•Gi-Taek,Kim•Gi-Taek,3 October 1962,,Republic of Korea,919,171 cm / 64 kg,,,,Kim Ki-Taik,,김•기택,Oriental
Competed in Olympic Games,Male,Kim•Taek-Su,Kim•Taek-Su,25 May 1970,,Republic of Korea,920,174 cm / 69 kg,Daewoo Stock Company (KOR),,,Kim Taek-Soo,,김•택수,Oriental
Competed in Olympic Games,Male,Kim•Wan,Kim•Wan,27 March 1961,,Republic of Korea,921,174 cm / 67 kg,,,,,,김•완,Oriental
